City	Post Office	Pin Code	Latitude	Longitude
Hyderabad	Hyderabad G.P.O.	500001	17.8669	78.6003
Nampally	Gandhi Bhawan (Hyderabad)	500001	17.8669	78.6003
Nampally	State Bank Of Hyderabad	500001	17.8669	78.6003
Nampally	Seetharampet	500001	17.8669	78.6003
Nampally	Moazzampura	500001	17.8669	78.6003
Charminar	Hyderabad Jubilee	500002	17.8669	78.6003
Charminar	Moghalpura	500002	17.8669	78.6003
Hyderabad	Secunderabad	500003	17.5043	78.5426
Secunderabad	Begumpet Policelines	500003	17.5043	78.5426
Secunderabad	Kingsway	500003	17.5043	78.5426
Secunderabad	MG Road	500003	17.5043	78.5426
Khairatabad	A.Gs Office	500004	17.8669	78.6003
Nampally	Vidhan Sabha (Hyderabad)	500004	17.8669	78.6003
Himayathnagar	Parishram Bhawan	500004	17.8669	78.6003
Khairatabad	Khairatabad	500004	17.8669	78.6003
Khairatabad	Anandnagar (Hyderabad)	500004	17.8669	78.6003
Khairatabad	Bazarghat (Hyderabad)	500004	17.8669	78.6003
Hyderabad	Mamidipalli	500005	19.2325	79.008
Bandlaguda	Keshogiri	500005	18.2713	78.7538
Bandlaguda	Crp Camp (Hyderabad)	500005	18.2713	78.7538
Asifnagar	Mangalhat	500006	17.8669	78.6003
Asifnagar	Kulsumpura	500006	17.8669	78.6003
Asifnagar	Karwan Sahu	500006	17.8669	78.6003
Secunderabad	Administrative Buildings	500007	17.8669	78.6003
Secunderabad	Tarnaka	500007	17.8669	78.6003
Secunderabad	Ngri	500007	17.8669	78.6003
Secunderabad	Jama I Osmania	500007	17.8669	78.6003
Secunderabad	IICT	500007	17.8669	78.6003
Golconda	Nanakramguda	500008	17.4207	78.3509
Golconda	Lunger House	500008	17.4207	78.3509
Golconda	Sakkubai Nagar	500008	17.4207	78.3509
Golconda	Toli Chowki	500008	17.4207	78.3509
Golconda	Kakatiya Nagar	500008	17.4207	78.3509
Golconda	Hyder Shah Kote	500008	17.4207	78.3509
Golconda	Dargah Hussain Shahwali	500008	17.4207	78.3509
Golconda 	Golconda	500008	17.4207	78.3509
Tirumalagiri	Manovikasnagar	500009	17.8669	78.6003
Secunderabad	Picket	500009	17.8669	78.6003
Tirumalagiri	Alwal	500010	17.5173	78.5175
Tirumalagiri	Bolarum	500010	17.5173	78.5175
Tirumalagiri	Haiglines	500010	17.5173	78.5175
Tirumalagiri	Bolarum Bazar	500010	17.5173	78.5175
Malkagiri Manda	Kowkoor	500010	17.5173	78.5175
Tirumalagiri	Bowenpally	500011	17.48	78.4266
Nampally	Begumbazar	500012	17.48	78.4266
Amberpet	Srinivasapuram (Hyderabad)	500013	17.48	78.4266
Amberpet	Amberpet	500013	17.48	78.4266
Amberpet	Seminary	500013	17.48	78.4266
Amberpet	Hyderabad Public School	500013	17.48	78.4266
Amberpet	Zindatelismath	500013	17.48	78.4266
Tirumalagiri	Hakimpet	500014	17.5478	78.5365
Tirumalagiri	Aoc Records	500015	17.4703	78.5167
Tirumalagiri	EME Records	500015	17.4703	78.5167
Secunderabad	Begumpet	500016	17.48	78.4266
Secunderabad	Prakashamnagar	500016	17.48	78.4266
Secunderabad	Lallapet	500017	17.4381	78.5406
Secunderabad	Lallaguda	500017	17.4381	78.5406
Ameerpet	Erragadda	500018	17.48	78.4266
Ameerpet	Sanath Nagar Colony	500018	17.48	78.4266
Balanagar	Vivekananda Nagar Colony	500018	17.48	78.4266
Musheerabad	Golconda Chowrastha	500020	17.3995	78.0179
Musheerabad	Musheerabad (ND)	500020	17.3995	78.0179
Musheerabad	Zamistanpur	500020	17.3995	78.0179
Hyderabad	Musheerabad (Delivery)	500020	17.3995	78.0179
Musheerabad	Ashoknagar (Hyderabad)	500020	17.3995	78.0179
Khairatabad	Central Secretariat	500022	17.3995	78.0179
Charminar	Yakutpura	500023	17.3995	78.0179
Saidabad	Sahifa	500024	17.3995	78.0179
Charminar	Darushifa	500024	17.3995	78.0179
Secunderabad	Rail Nilayam	500025	17.3995	78.0179
Secunderabad	Himmatnagar	500025	17.3995	78.0179
Secunderabad	Padmaraonagar	500025	17.3995	78.0179
Secunderabad	Nehrunagar (Hyderabad)	500026	17.3995	78.0179
Himayathnagar	Stn Kachiguda	500027	17.3995	78.0179
Nampally	Nimboliadda	500027	17.3995	78.0179
Himayathnagar	Barkatpura	500027	17.3995	78.0179
Asifnagar	Shantinagar (Hyderabad)	500028	17.3995	78.0179
Asifnagar	Murad Nagar (Hyderabad)	500028	17.3995	78.0179
Asifnagar	Humayunnagar	500028	17.3995	78.0179
Himayathnagar	Ramakrishna Mutt	500029	17.3995	78.0179
Himayathnagar	Narayanguda	500029	17.3995	78.0179
Himayathnagar	Himayathnagar	500029	17.3995	78.0179
Himayathnagar	Gagan Mahal	500029	17.3995	78.0179
Hyderabad	Kismathpur	500030	17.4251	78.4248
Golconda	Ibrahim Bagh Lines	500031	17.4251	78.4248
Shaikpet	Dr.B R Ambedkar O.U	500033	17.4334	78.4111
Shaikpet	Jubilee Hills	500033	17.4334	78.4111
Khairatabad	Banjara Hills	500034	17.4168	78.4384
